Start station number,Start station,End station number,End station,Bike model,Date,total_duration_min,weather_code,Weather Description,real_temperature_C,feels_like_temperature_C,wind_speed_10m,humidity_percentage,Day_of_Month,Day_of_Week,Hour_of_Day,is_Weekend,Time_of_Day,Day_of_Week_Name,is_Weekend_Name
1052,"Soho Square , Soho",200129,"Charlotte Terrace, Angel",CLASSIC,2023-08-15 17:00:00,4.04305126783455,7.6367526,,0.80471385,0.798476,0.6298918,0.1839444,15,2,17,0,Evening,Tuesday,Weekday
2636,"Prince Albert Road, The Regent's Park",300071,"Elgin Avenue, Maida Hill",CLASSIC,2023-08-11 22:00:00,3.1354942159291497,12.287555,,0.44107747,0.5027925,0.40810555,0.7930244,11,5,22,0,Night,Friday,Weekday
1064,"Old Street Station, St. Luke's",2641,"New North Road 2, Hoxton",CLASSIC,2023-08-22 16:00:00,1.791759469228055,16.676977,,0.962963,0.8697927,0.605045,0.09698886,22,2,16,0,Afternoon,Tuesday,Weekday
973,"Bethnal Green Road, Shoreditch",200038,"Ackroyd Drive, Bow",CLASSIC,2023-08-20 17:00:00,2.995732273553991,15.807239,,0.80471385,0.76066184,0.5326615,0.28519475,20,7,17,1,Evening,Sunday,Weekend
200134,"Albany Street, The Regent's Park",300002,"Brook Green South, Brook Green",CLASSIC,2023-08-12 19:00:00,3.784189633918261,22.039528,,0.5622895,0.5076915,0.43709105,0.5555178,12,6,19,1,Evening,Saturday,Weekend
300014,"Falcon Road, Clapham Junction",200060,"Drayton Gardens, West Chelsea",CLASSIC,2023-08-02 10:00:00,2.5649493574615367,26.089443,,0.6296296,0.5379224,0.49130195,0.504087,2,3,10,0,Morning,Wednesday,Weekday
2693,"Shouldham Street, Marylebone",22158,"Exhibition Road Museums 1, South Kensington",CLASSIC,2023-08-27 13:00:00,3.58351893845611,17.581125,,0.62626266,0.5573126,0.71298915,0.2669872,27,7,13,1,Afternoon,Sunday,Weekend
1109,"Wellington Arch, Hyde Park",1088,"Triangle Car Park, Hyde Park",CLASSIC,2023-08-28 13:00:00,2.9444389791664403,12.229406,,0.61952865,0.58222914,0.87593573,0.26655293,28,1,13,0,Afternoon,Monday,Weekday
22178,"Lindfield Street, Poplar",200066,"Import Dock, Canary Wharf",CLASSIC,2023-08-29 19:00:00,2.1972245773362196,15.03835,,0.4781145,0.44714502,0.4535848,0.44355738,29,2,19,0,Evening,Tuesday,Weekday
200096,"Green Park Station, Mayfair",1126,"North Audley Street, Mayfair",CLASSIC,2023-08-29 16:00:00,3.091042453358316,14.345898,,0.6363636,0.54924095,0.5882507,0.13228875,29,2,16,0,Afternoon,Tuesday,Weekday
1001,"West Cromwell Road, Earl's Court",200197,"Barons Court Station, West Kensington",CLASSIC,2023-08-08 19:00:00,2.1972245773362196,15.137133,,0.4781145,0.534238,0.55359083,0.8498714,8,2,19,0,Evening,Tuesday,Weekday
22180,"Cheapside, Bank",300234,"Stratford Station, Stratford",CLASSIC,2023-08-02 18:00:00,3.258096538021482,13.324863,,0.4915825,0.54947364,0.83619064,0.7792585,2,3,18,0,Evening,Wednesday,Weekday
