Start station number,Start station,End station number,End station,Bike model,Date,Total_duration_min,weather_code,Weather Description,real_temperature_C,feels_like_temperature_C,wind_speed_10m,humidity_percentage,Day_of_Month,Day_of_Week,Hour_of_Day,is_Weekend,Time_of_Day,Day_of_Week_Name,is_Weekend_Name
1114,"Pont Street, Knightsbridge",22159,"Ebury Bridge, Pimlico",CLASSIC,2023-08-26 19:00:00,2.302585092994046,6.5693827,,0.3434343434343434,0.39118443071359793,0.6239873714241421,0.5411786444154548,26,6,19,1,Evening,Saturday,Weekend
300200,"East Village, Queen Elizabeth Olympic Park",300021,"Podium, Queen Elizabeth Olympic Park",CLASSIC,2023-08-01 14:00:00,3.295836866004329,19.134262,,0.7474747474747476,0.6276719049305455,0.6467955161606408,0.13410402405987776,1,2,14,0,Afternoon,Tuesday,Weekday
200237,"Parson's Green , Parson's Green",200125,"Putney Bridge Station, Fulham",CLASSIC,2023-08-07 18:00:00,1.3862943611198906,13.493999,,0.595959595959596,0.5554082462772272,0.7067460174828909,0.3034112987439276,7,1,18,0,Evening,Monday,Weekday
1029,"Windsor Terrace, Hoxton",1020,"Leonard Circus , Shoreditch",CLASSIC,2023-08-26 12:00:00,1.791759469228055,16.263872,,0.6262626262626263,0.5597211866257381,0.543161277201149,0.2807781705733764,26,6,12,1,Afternoon,Saturday,Weekend
1022,"Brunswick Square, Bloomsbury",200096,"Green Park Station, Mayfair",CLASSIC,2023-08-29 16:00:00,4.584967478670572,14.345898,,0.6363636363636362,0.5492408496328991,0.5882506964477167,0.1322887309711408,29,2,16,0,Afternoon,Tuesday,Weekday
3427,"Fanshaw Street, Hoxton",973,"Bethnal Green Road, Shoreditch",CLASSIC,2023-08-11 10:00:00,2.1972245773362196,20.240198,,0.8787878787878789,0.8544832810412111,0.4952904547185223,0.3999697963429588,11,5,10,0,Morning,Friday,Weekday
3421,"Red Lion Square, Holborn",1163,"Wardour Street, Soho",CLASSIC,2023-08-15 18:00:00,2.1972245773362196,8.654987,,0.7542087542087541,0.7569285270593347,0.4664853939988116,0.26164664119787695,15,2,18,0,Evening,Tuesday,Weekday
200052,"Exhibition Road Museums 2, South Kensington",22179,"Exhibition Road, Knightsbridge",CLASSIC,2023-08-26 14:00:00,4.060443010546419,15.1884165,,0.5858585858585859,0.5295413530176496,0.5266295272203948,0.29923633606543165,26,6,14,1,Afternoon,Saturday,Weekend
300043,"St. Peter's Terrace, Fulham",200142,"Hammersmith Road, Hammersmith",CLASSIC,2023-08-15 22:00:00,2.5649493574615367,7.289444,,0.41414148148148144,0.5120692405780833,0.5762876222149017,0.787354705974061,15,2,22,0,Night,Tuesday,Weekday
1182,"Notting Hill Gate Station, Notting Hill",1173,"Gloucester Terrace, Bayswater",CLASSIC,2023-08-26 01:00:00,2.0794415416798357,9.726664,,0.18518518518518523,0.25372299921816394,0.4931174252710059,0.887711597715715,26,6,1,1,Night,Saturday,Weekend
1093,"Kennington Cross, Kennington",1190,"Kennington Lane Rail Bridge, Vauxhall",CLASSIC,2023-08-01 10:00:00,1.791759469228055,23.051247,,0.6026936026936027,0.47211798370024566,0.6738561613258195,0.2552141505909923,1,2,10,0,Morning,Tuesday,Weekday
200154,"Hansard Mews, Holland Park",200185,"St. John's Road, Clapham Junction",CLASSIC,2023-08-15 07:00:00,3.258096538021482,12.864649,,0.3400674074074075,0.38202003355898334,0.5864675456494183,0.7855592051641146,15,2,7,0,Morning,Tuesday,Weekday
3477,"Porchester Place, Paddington",200080,"Russell Gardens, Olympia",CLASSIC,2023-08-15 22:00:00,2.8903717578961645,7.289444,,0.41414148148148144,0.5120692405780833,0.5762876222149017,0.787354705974061,15,2,22,0,Night,Tuesday,Weekday
1042,"Woodstock Street, Mayfair",1007,"Drury Lane, Covent Garden",PBSC_EBIKE,2023-08-28 13:00:00,2.1972245773362196,12.229406,,0.6195286195286196,0.5822291831906379,0.8759358007210872,0.2665528521801933,28,1,13,0,Afternoon,Monday,Weekday
3454,"Denyer Street, Knightsbridge",3454,"Denyer Street, Knightsbridge",CLASSIC,2023-08-15 15:00:00,3.1354942159291497,7.8625183,,0.8080808080808082,0.8182295656227476,0.5952540639763518,0.24514505084208238,15,2,15,0,Afternoon,Tuesday,Weekday
988,"Great Russell Street, Bloomsbury",1207,"Tavistock Street, Covent Garden",CLASSIC,2023-08-07 18:00:00,1.6094379124341003,13.493999,,0.595959595959596,0.5554082462772272,0.7067460174828909,0.3034112987439276,7,1,18,0,Evening,Monday,Weekday
22166,"Albert Gardens, Stepney",200148,"Ansell House, Stepney",CLASSIC,2023-08-21 11:00:00,1.791759469228055,17.414474,,0.8013468686868688,0.7631236443743445,0.5340961221721999,0.3231377335619926,21,1,11,0,Morning,Monday,Weekday
200154,"Hansard Mews, Holland Park",1173,"Gloucester Terrace, Bayswater",CLASSIC,2023-08-25 22:00:00,2.772588722239781,10.739832,,0.2457912457912459,0.29009042595922013,0.4905972854926187,0.7578596800277874,25,5,22,0,Night,Friday,Weekday
200118,"Parkway, Camden Town",3497,"Rathbone Street, Fitzrovia",CLASSIC,2023-08-09 09:00:00,2.639057329615259,5.8048253,,0.49831656565656557,0.5499745422412106,0.6975007923218771,0.4647819762341635,9,3,9,0,Morning,Wednesday,Weekday
